1HD1FFW125Y6,Harley-Davidson,750cc or greater
JTDDR32T0Y00,Toyota,Celica
1N6BA0ED7AN3,Datsun/Nissan,Titan (from 2007 on; see 473 for 2004-06)
1FTJW36F4TEA,Ford,F-Series pickup
1FAFP10P8XW2,Ford,Escort/EXP/ZX2
1HD1FC4178Y6,Harley-Davidson,750cc or greater
1FMYU60E72UA,Ford,Bronco (thru 1977)/Bronco II/Explorer/Explorer Sport
1HD1BMY19YY0,Harley-Davidson,750cc or greater
1N4AL11D76N3,Datsun/Nissan,Altima
1FTZR45U22PA,Ford,Ranger
1NXBR12E9XZ2,Toyota,Corolla
1JCBM87E5BT0,Jeep / Kaiser-Jeep / Willys- Jeep,CJ-5/CJ-6/CJ-7/CJ-8
1HD1JL53X7Y0,Harley-Davidson,750cc or greater
JF2BJ65C6LG9,Subaru,Legacy/Outback(prior to 2003 only; see 045 for 2003 on)
TTSWBLB06960,Other Make,Unknown cc
1HD1FBW114Y7,Harley-Davidson,750cc or greater
KNAGD1269554,KIA,Optima
2FMZA57675BA,Ford,Freestar
1FMPU15586LA,Ford,Expedition
1FMJK1F50AEB,Ford,Expedition
2B3HD56T9RH3,Dodge,Intrepid
1C3LC46J58N2,Chrysler,Sebring
1B3HB48A39D1,Dodge,Caliber
1GCEK19V14E2,Chevrolet,"C, K, R, V-series pickup/Silverado"
5NPET46C18H3,Hyundai,Sonata
1LNHM81W92Y6,Lincoln,Continental (thru '81)/ Town Car
1HD1BWB132Y0,Harley-Davidson,750cc or greater
3FAKP1134YR1,Ford,Escort/EXP/ZX2
1FTSW31F4XEB,Ford,F-Series pickup
RKKECPL325G5,Other Make,Unknown cc (ATV)
3HSCDAPN55N0,International Harvester/Navistar,Medium/Heavy - CBE
L5YTCKPA3812,Other Make,Unknown cc
2GCEK19T5211,Chevrolet,"C, K, R, V-series pickup/Silverado"
1GNDS13S0221,Chevrolet,"S-10 Blazer/TrailBlazer (2002 only; for 2003 on, see 403)"
1HD1BJL43XY0,Harley-Davidson,750cc or greater
1B7HC16Y6XS2,Dodge,Ram Pickup
