detail_id,detail_information,light_condition,road_function,intersection_type,drunk_driving
73268,Pedestrian,Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73269,Ditch,Daylight,Rural-Major Collector,Not an Intersection,f
73270,Motor Vehicle In-Transport ,Daylight,Urban-Collector,Not an Intersection,t
73271,Culvert,Daylight,Rural-Major Collector,Not an Intersection,t
73272,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
73273,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73274,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73275,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
73276,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
73277,Motor Vehicle In-Transport ,Daylight,Urban-Other Principal Arterial,T-Intersection,f
73278,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,t
73279,Motor Vehicle In-Transport ,Daylight,Rural-Minor Collector,Four-Way Intersection,f
73280,Pedestrian,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,f
73281,Pedestrian,Dark - Lighted,Urban-Collector,Not an Intersection,f
73282,Rollover/Overturn,Dusk,Rural-Local Road or Street,Not an Intersection,t
73283,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73284,Rollover/Overturn,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
73285,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,t
73286,Utility Pole/Light Support,Dark - Lighted,Urban-Local Road or Street,Not an Intersection,f
73287,Rollover/Overturn,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,f
73288,Motor Vehicle In-Transport ,Daylight,Urban-Minor Arterial,Four-Way Intersection,f
73289,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73290,Pedestrian,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73291,Railway Vehicle,Daylight,Rural-Local Road or Street,Not an Intersection,f
73292,Guardrail Face,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73293,Guardrail Face,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73294,Culvert,Daylight,Rural-Principal Arterial-Other,Not an Intersection,t
73295,Pedalcyclist,Daylight,Urban-Minor Arterial,Not an Intersection,f
73296,Pedestrian,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
73297,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
73298,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73299,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Local Road or Street,Not an Intersection,t
73300,Pedestrian,Daylight,Urban-Other Principal Arterial,Four-Way Intersection,f
73301,Utility Pole/Light Support,Dark - Lighted,Rural-Minor Arterial,Not an Intersection,f
73302,Rollover/Overturn,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
73303,Pedestrian,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
73304,Tree (Standing Only),Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73305,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73306,Culvert,Dawn,Rural-Minor Arterial,Not an Intersection,f
73307,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73308,Bridge Rail (Includes parapet),Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
73309,Rollover/Overturn,Daylight,Rural-Minor Arterial,Not an Intersection,f
73310,Pedestrian,Dark - Lighted,Urban-Minor Arterial,Four-Way Intersection,f
73311,Ditch,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
73312,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73313,Motor Vehicle In-Transport ,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
73314,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
73315,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73316,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
73317,Motor Vehicle In-Transport ,Dark - Not Lighted,Urban-Minor Arterial,Four-Way Intersection,f
73318,Guardrail Face,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
73319,Ditch,Dark - Not Lighted,Rural-Minor Arterial,Not an Intersection,f
73320,Ditch,Daylight,Rural-Major Collector,Not an Intersection,f
73321,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,T-Intersection,f
73322,Boulder,Dark - Lighted,Rural-Local Road or Street,Not an Intersection,t
73323,Embankment,Daylight,Rural-Major Collector,Not an Intersection,f
73324,Rollover/Overturn,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,t
73325,Rollover/Overturn,Dark - Lighted,Urban-Other Principal Arterial,Not an Intersection,f
73326,Motor Vehicle In-Transport ,Daylight,Rural-Major Collector,Four-Way Intersection,f
73327,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Other,Four-Way Intersection,f
73328,Rollover/Overturn,Dark - Not Lighted,Rural-Major Collector,Not an Intersection,f
73329,Motor Vehicle In-Transport ,Daylight,Rural-Minor Arterial,Not an Intersection,f
73330,Motor Vehicle In-Transport ,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
73331,Motor Vehicle In-Transport ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73332,Parked Motor Vehicle ,Daylight,Rural-Principal Arterial-Interstate,Not an Intersection,f
73333,"Other Post, Other Pole or Other Supports",Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
73334,Embankment,Dusk,Rural-Local Road or Street,Not an Intersection,f
73335,Bridge Pier or Support,Dark - Lighted,Rural-Principal Arterial-Interstate,Not an Intersection,f
73336,Bridge Rail (Includes parapet),Daylight,Rural-Principal Arterial-Other,Not an Intersection,f
73337,Mail Box,Dark - Lighted,Urban-Minor Arterial,Not an Intersection,t
73338,Other Fixed Object,Unknown,Rural-Major Collector,Not an Intersection,f
73339,Motor Vehicle In-Transport ,Dark - Lighted,Urban-Other Principal Arterial,Four-Way Intersection,f
73340,Fence,Dark - Not Lighted,Rural-Principal Arterial-Other,Not an Intersection,f
